parent_name,name,created_at,updated_at,categoryPath,include_in_menu,description,meta_keywords,meta_description,custom_layout_update,is_active,landing_page,is_anchor,custom_use_parent_settings,custom_apply_to_products,image,meta_title,display_mode,url_key
Wellington Silicon Oasis,WSO Online Shop,2017-11-10 07:01:40,2019-11-17 10:13:08,Root Catalog/Root Catalog Migrated/Schools & Clubs/Wellington Silicon Oasis/WSO Online Shop,0,,,,,0,,0,,1,,,PRODUCTS,wso-online-shop
Wellington International,Wellington Netball,2017-08-11 06:11:42,2019-11-10 09:48:49,Root Catalog/Root Catalog Migrated/Schools & Clubs/Wellington International/Wellington Netball,0,,,,,1,,0,,1,wellington-banner.png,,PRODUCTS,wellington-netball
Default Category,Continental,2018-01-10 10:08:26,2018-01-10 10:08:26,Root Catalog/Root Catalog Migrated/Continental,0,,,,,1,,1,,0,,,PRODUCTS,continental
Default Category,Maru,2018-01-17 12:07:46,2018-01-17 12:07:46,Root Catalog/Root Catalog Migrated/Maru,1,,,,,1,,1,,,,,,maru
Schools & Clubs,Justplay,2018-01-24 08:29:29,2019-10-07 08:38:26,Root Catalog/Root Catalog Migrated/Schools & Clubs/Justplay,1,,,,,1,,0,,0,,,PRODUCTS,justplay
JESS,jess_boys,2018-02-04 08:11:51,2020-02-24 11:19:39,Root Catalog/Root Catalog Migrated/Schools & Clubs/JESS/jess_boys,0,,,,,1,,0,,0,,,PRODUCTS,jess-boys
JESS,jess_girls,2018-02-04 08:12:38,2020-02-24 11:35:54,Root Catalog/Root Catalog Migrated/Schools & Clubs/JESS/jess_girls,0,,,,,1,,0,,0,,,PRODUCTS,jess-girls
Schools & Clubs,dubaiwasps,2018-02-15 06:10:55,2020-03-08 09:20:36,Root Catalog/Root Catalog Migrated/Schools & Clubs/dubaiwasps,0,,,,,1,,0,,0,wasps-banner.png,,PRODUCTS,dubaiwasps
JESS,Camp Kenya,2018-03-11 07:53:26,2018-06-05 08:39:37,Root Catalog/Root Catalog Migrated/Schools & Clubs/JESS/Camp Kenya,0,,,,,1,,0,,0,,,PRODUCTS,camp-kenya
GRDS,Gems Royal Dubai,2018-06-24 07:27:21,2019-11-27 09:39:08,Root Catalog/Root Catalog Migrated/Schools & Clubs/GRDS/Gems Royal Dubai,0,,,,,1,,0,,0,Gems_RoyalDubai_banner.png,,PRODUCTS,gems-royal-dubai
Default Category,Presentations,2018-07-10 06:00:50,2018-07-11 12:34:33,Root Catalog/Root Catalog Migrated/Presentations,0,,,,,1,,0,,0,,,PRODUCTS,presentations
Presentations,Football,2018-07-10 06:02:31,2018-07-12 10:05:48,Root Catalog/Root Catalog Migrated/Presentations/Football,0,,,,,1,,0,,0,,,PRODUCTS,football
Presentations,Rugby,2018-07-10 06:08:58,2018-07-10 06:34:18,Root Catalog/Root Catalog Migrated/Presentations/Rugby,0,,,,,1,,0,,0,,,PRODUCTS,rugby
Presentations,Basketball,2018-07-10 11:05:10,2018-07-10 11:05:10,Root Catalog/Root Catalog Migrated/Presentations/Basketball,0,,,,,1,,0,,0,,,PRODUCTS,basketball
Presentations,Netball,2018-07-10 11:05:52,2018-07-10 11:05:52,Root Catalog/Root Catalog Migrated/Presentations/Netball,0,,,,,1,,0,,0,,,PRODUCTS,netball
Presentations,athletics,2018-07-10 11:07:51,2018-07-10 11:07:51,Root Catalog/Root Catalog Migrated/Presentations/athletics,0,,,,,1,,0,,0,,,PRODUCTS,athletics
Presentations,swimming,2018-07-10 11:09:37,2018-07-10 11:09:37,Root Catalog/Root Catalog Migrated/Presentations/swimming,0,,,,,1,,0,,0,,,PRODUCTS,swimming
Default Category,Chillys,2018-08-27 09:01:08,2020-03-08 09:24:01,Root Catalog/Root Catalog Migrated/Chillys,1,,"Chillys Bottles Dubai, Bespoke water bottles , Design my own water bottles",,,1,,0,,1,,Chilly's Bottles,PRODUCTS,chillys
GRDS,Gems Royal Dubai Dance,2018-09-16 09:05:01,2019-11-27 09:33:21,Root Catalog/Root Catalog Migrated/Schools & Clubs/GRDS/Gems Royal Dubai Dance,0,,,,,1,,0,,0,Gems_RoyalDubai_banner.png,,PRODUCTS,gems-royal-dubai-dance
Schools & Clubs,GRDS,2018-09-16 09:12:31,2019-10-07 08:38:26,Root Catalog/Root Catalog Migrated/Schools & Clubs/GRDS,0,,,,,0,,0,,0,,,PRODUCTS,grds
Schools & Clubs,Dhahran School,2018-09-19 08:30:30,2019-10-07 08:38:26,Root Catalog/Root Catalog Migrated/Schools & Clubs/Dhahran School,0,,,,,1,,0,,0,dhahran_school_banner.png,,PRODUCTS,dhahran-school
Schools & Clubs,Ranches Primary School,2018-10-07 10:25:12,2019-10-07 08:38:26,Root Catalog/Root Catalog Migrated/Schools & Clubs/Ranches Primary School,0,,,,,1,,1,,0,,,PRODUCTS,ranches-primary-school
Schools & Clubs,Gems First Point School,2018-10-10 10:22:05,2019-10-07 08:38:26,Root Catalog/Root Catalog Migrated/Schools & Clubs/Gems First Point School,0,,,,,1,,1,,0,,,PRODUCTS,gems-first-point-school
Schools & Clubs,DIA Wolves,2018-12-09 05:22:29,2019-10-07 08:38:26,Root Catalog/Root Catalog Migrated/Schools & Clubs/DIA Wolves,0,,,,,1,,1,,0,,,PRODUCTS,dia-wolves
Wellington International,Wellington Basketball,2019-01-03 06:02:11,2019-12-31 05:50:16,Root Catalog/Root Catalog Migrated/Schools & Clubs/Wellington International/Wellington Basketball,0,,,,,1,,0,,0,wellington-banner.png,,PRODUCTS,wellington-basketball
Schools & Clubs,Wellington Academy Al Khail,2019-03-24 08:11:47,2019-10-07 08:38:26,Root Catalog/Root Catalog Migrated/Schools & Clubs/Wellington Academy Al Khail,0,,,,,1,,0,,0,wellingtonalkhail-banner.jpg,,PRODUCTS,wellington-academy-al-khail
Schools & Clubs,Deira International School,2019-05-02 06:54:09,2019-12-30 07:30:24,Root Catalog/Root Catalog Migrated/Schools & Clubs/Deira International School,0,,,,,0,,0,,0,disbanner.png,,PRODUCTS,deira-international
Deira International School,dis boys,2019-05-02 06:56:35,2020-01-08 12:47:44,Root Catalog/Root Catalog Migrated/Schools & Clubs/Deira International School/dis boys,0,,,,,1,,0,,0,,,PRODUCTS,dis-boys
Deira International School,dis girls,2019-05-02 06:59:56,2020-01-08 12:48:21,Root Catalog/Root Catalog Migrated/Schools & Clubs/Deira International School/dis girls,0,,,,,1,,0,,0,,,PRODUCTS,dis-girls
Schools & Clubs,My Sport,2019-05-27 11:25:17,2020-03-08 09:18:59,Root Catalog/Root Catalog Migrated/Schools & Clubs/My Sport,0,,,,,1,,1,,0,mysportacademy.png,,PRODUCTS,my-sport
Schools & Clubs,GMP Performing Art,2019-06-11 05:35:39,2019-10-07 08:38:26,Root Catalog/Root Catalog Migrated/Schools & Clubs/GMP Performing Art,0,,,,,1,,0,,0,Gems-metropole-banner.png,,PRODUCTS,gmp-performing-art
Schools & Clubs,nas dubai,2019-06-12 08:21:43,2019-10-07 08:38:26,Root Catalog/Root Catalog Migrated/Schools & Clubs/nas dubai,0,,,,,1,,0,,0,NAS-Banner-2.png,,PRODUCTS,nas-dubai
nas dubai,nas_boys,2019-07-28 06:02:50,2019-10-13 11:09:19,Root Catalog/Root Catalog Migrated/Schools & Clubs/nas dubai/nas_boys,0,,,,,1,,0,,0,NAS-Banner-2.png,,PRODUCTS,nas-boys
nas dubai,nas_girls,2019-07-28 06:03:37,2019-09-03 11:31:08,Root Catalog/Root Catalog Migrated/Schools & Clubs/nas dubai/nas_girls,0,,,,,1,,0,,0,NAS-Banner-2.png,,PRODUCTS,nas-girls
Wellington International,Wellington Swimming,2019-09-09 12:36:34,2020-01-06 12:24:21,Root Catalog/Root Catalog Migrated/Schools & Clubs/Wellington International/Wellington Swimming,0,,,,,1,,0,,0,,,PRODUCTS,wellington-swimming
Schools & Clubs,Reptonschool,2019-10-07 08:36:36,2020-02-24 10:30:36,Root Catalog/Root Catalog Migrated/Schools & Clubs/Reptonschool,0,,,,,1,,0,,0,,,PRODUCTS,reptonschool
Reptonschool,ReptonRapids,2019-10-07 08:37:43,2019-11-05 08:13:15,Root Catalog/Root Catalog Migrated/Schools & Clubs/Reptonschool/ReptonRapids,0,,,,,1,,0,,0,,,PRODUCTS,reptonrapids
Schools & Clubs,Riyadh_School,2019-10-09 10:17:22,2019-11-13 05:34:16,Root Catalog/Root Catalog Migrated/Schools & Clubs/Riyadh_School,0,,,,,1,,1,,0,Riyadh-School-Banner.png,,PRODUCTS,riyadh-school
Riyadh_School,Riyadh_boys,2019-10-17 14:51:11,2019-10-30 06:08:10,Root Catalog/Root Catalog Migrated/Schools & Clubs/Riyadh_School/Riyadh_boys,0,,,,,1,,0,,0,,,PRODUCTS,riyadh-boys
