product_name,product_sku,warehouse,qty_in_warehouse,shelf_location
"Clipper Shorts | Navy/White",1-STK-SHO-CLI-BES-NVY/WHT-S,J20,3.0000,"A 07 D 2"
"Club Match Rugby Ball Size 5",1-STK-1-640015-WHT/RED-5,J20," -1.0000","A 05 G 3"
"Club Pro Socks | Navy/Gold",1-STK-8-620001-NVY/GLD-L,J20,5.0000,"A 04 B 1"
"Club Pro Socks | Navy/Gold",1-STK-8-620001-NVY/GLD-M,J20,5.0000,"A 04 B 1"
"Club Pro Socks | Navy/Gold",1-STK-8-620001-NVY/GLD-S,J20,4.0000,"A 04 B 1"
"Club Pro Socks | Navy/Gold",1-STK-8-620001-NVY/GLD-XL,J20,16.0000,"A 07 G 1"
"Club Pro Socks | Black/FluroOr",1-STK-8-620031-BLK/FLO-L,J20,12.0000,"A 05 E 3"
"Club Pro Socks | Green/Yellow",1-STK-8-620031-GRN/YLW-L,J20,8.0000,"A 04 C 1"
"Club Pro Socks",1-STK-8-620031-WHT/PUR-L,J20,7.0000,"A 04 C1"
"WIS Club Pro Socks",1-WIS-SOC-CLUB-STD-MRN-S,J20,115.0000,"A 07 A 1"
"Collapsible Water Bottle Carrier",1-STK-3-6211014-BLK-0,J20,0.0000,"KITCHEN RACK"
"Concept Hoodies",1-STK-HOD-CLUB-BES-NVY/SKY-XS,J20,1.0000,"BOX - JACKET"
"Contour Premier  Head Guard",1-STK-9-627002-BLK-S,J20,6.0000,"A 02 A 2"
"Contour Premier  Head Guard",1-STK-9-627002-BLK-L,J20,4.0000,"A 02 A 2"
"Contour Premier  Head Guard",1-STK-9-627002-BLK-M,J20,1.0000,"A 02 A 2"
"Contour Premier  Head Guard",1-STK-9-627002-BLK-XL,J20,2.0000,"A 02 A 2"
"Contour Premier  Head Guard",1-STK-9-627002-BLK-XS,J20,4.0000,"A 02 A 2"
"Contour Premier Shoulder Pads",1-STK-9-637001-BLK-L,J20,6.0000,"A 07 A 1"
"Contour Premier Shoulder Pads",1-STK-9-637001-BLK-LB,J20,3.0000,"A 07 A 1"
"Contour Premier Shoulder Pads",1-STK-9-637001-BLK-M,J20,7.0000,"A 07 A 1"
"Contour Premier Shoulder Pads",1-STK-9-637001-BLK-S,J20,6.0000,"A 07 A 1"
"Contour Premier Shoulder Pads",1-STK-9-637001-BLK-XL,J20,2.0000,"A 07 A 1"
"Contour Premier Shoulder Pads",1-STK-9-637001-BLK-XS,J20,1.0000,"A 07 A 1"
"Cricket Shirt",1-STK-9-638002-CRM-L,J20,4.0000,"BOX - CRICKET"
"Cricket Shirt",1-STK-9-638002-CRM-M,J20,4.0000,"A 05 F 1 / BOX - CRICKET"
"Cricket Shirt",1-STK-9-638002-CRM-S,J20,5.0000,"BOX - CRICKET"
"Cricket Shirt",1-STK-9-638002-CRM-XL,J20,4.0000,"BOX - CRICKET"
"Cricket Trouser | Cream/Maroon",1-STK-9-638003-CRM/MRN-L,J20,4.0000,"BOX - CRICKET"
"Cricket Trouser | Cream/Maroon",1-STK-9-638003-CRM/MRN-LB,J20,3.0000,"BOX - CRICKET"
"Cricket Trouser | Cream/Maroon",1-STK-9-638003-CRM/MRN-M,J20,4.0000,"BOX - CRICKET"
"Cricket Trouser | Cream/Maroon",1-STK-9-638003-CRM/MRN-S,J20,3.0000,"BOX - CRICKET"
"Cricket Trouser | Cream/Maroon",1-STK-9-638003-CRM/MRN-XL,J20,2.0000,"BOX - CRICKET"
"Cricket Trouser | Cream/Maroon",1-STK-9-638003-CRM/MRN-XS,J20,4.0000,"BOX - CRICKET"
"Cricket Trouser | Cream",1-STK-9-638003-CRM-L,J20,4.0000,"BOX - CRICKET"
"Cricket Trouser | Cream",1-STK-9-638003-CRM-M,J20,4.0000,"A 05 F 1 / BOX - CRICKET"
"Cricket Trouser | Cream",1-STK-9-638003-CRM-S,J20,4.0000,"BOX - CRICKET"
"Cricket Trouser | Cream",1-STK-9-638003-CRM-XL,J20,4.0000,"BOX - CRICKET"
"Danah Diver Hoodie",1-DAN-HOD-CLUB-BES-NVY-L,J20,1.0000,"C 01 C 2"
"Danah Diver Osaka Zip Off Cargo Pants",1-DAN-PAN-WET-BES-NVY-L,J20,1.0000,"C 01 C 2"
